date,stock_code,buy_count,sell_count,is_top_recommended,is_top_not_recommended,recommended_view_sum,not_recommended_view_sum,return_5d
2026-04-13,3006,0,1,0,1,0,0,
2026-04-13,3008,1,0,0,0,0,0,
2026-04-13,3031,1,0,0,0,0,0,
2026-04-13,3034,1,0,0,0,0,0,
2026-04-13,3037,1,0,0,0,0,0,
2026-04-13,3081,1,0,0,0,0,0,
2026-04-13,3131,1,0,0,0,0,0,
2026-04-13,3163,1,0,0,0,0,0,
2026-04-13,3231,1,1,0,1,0,16328,
2026-04-13,3260,0,1,0,1,0,0,
2026-04-13,3363,1,0,0,0,0,0,
2026-04-13,3376,1,0,0,0,0,0,
2026-04-13,3437,1,0,0,0,0,0,
2026-04-13,3443,1,0,0,0,0,0,
2026-04-13,3481,2,0,1,0,14683,0,
2026-04-13,3491,1,0,0,0,29311,0,
2026-04-13,3498,1,0,0,0,0,0,
2026-04-13,3532,1,0,0,0,0,0,
2026-04-13,3535,1,0,0,0,0,0,
2026-04-13,3580,1,0,0,0,0,0,
2026-04-13,3583,2,0,1,0,14683,0,
2026-04-13,3661,1,1,0,1,0,29311,
2026-04-13,3663,1,0,0,0,0,0,
2026-04-13,3673,1,0,0,0,0,0,
2026-04-13,4576,1,0,0,0,0,0,
2026-04-13,4915,1,0,0,0,0,0,
2026-04-13,4958,1,0,0,0,0,0,
2026-04-13,4967,0,1,0,0,0,0,
2026-04-13,5439,1,0,0,0,0,0,
2026-04-13,5443,1,0,0,0,0,0,
2026-04-13,6187,2,0,1,0,14683,0,
2026-04-13,6217,1,0,0,0,29311,0,
2026-04-13,6227,1,0,0,0,29311,0,
2026-04-13,6442,2,0,1,0,31301,0,
2026-04-13,6488,1,0,0,0,0,0,
2026-04-13,6640,1,0,0,0,0,0,
2026-04-13,6669,0,1,0,0,0,16328,
2026-04-13,6770,0,2,0,1,0,29021,
2026-04-13,6789,1,0,0,0,0,0,
2026-04-13,8064,1,0,0,0,0,0,
2026-04-13,8299,0,1,0,0,0,0,
2026-04-13,8358,1,0,0,0,0,0,
2026-04-13,8996,0,1,0,0,0,29311,
